DOI,land_management_practice,land_management_practice_category,land_management_practice_unified,effect,property,property_unified,actor,actor_unified,method_or_measurement,temporal_scope,locational_scope,contrasting_land_management_practice,contrasting_land_management_practice_category,contrasting_land_management_practice_unified,location_country,study_type,sentences,comment,score,score_explanation,,,
10.1016/0167-1987(95)00496-3,conventional tillage,Soil management,Conventional tillage,increase,values,NA,endoparasites (Heterodera avenae and Pratylenchus) nematodes,Pest parasitic nematodes,nematode population comparison,3 year period,experimental plots,virgin ecosystem (evergreen oak forest),Vegetation management,NA,Spain,field,,NA,1.5,,,,
10.1016/0167-1987(95)00496-3,no-tillage,Soil management,No tillage,increase,density,abundance,bacterial-feeding groups (nematodes),Bacterial feeders nematodes,nematode population comparison,3 year period,experimental plots,conventional tillage,Soil management,Conventional tillage,Spain,field,"The greatest density and diversity in the no-tillage system occurred in the bacterial-feeding, fungivorous and omnivorous predator groups.",NA,1.5,,,,
10.1016/0167-1987(95)00496-3,no-tillage,Soil management,No tillage,increase,density,abundance,fungivorous groups (nematodes),Fungal feeders nematodes,nematode population comparison,3 year period,experimental plots,conventional tillage,Soil management,Conventional tillage,Spain,field,"The greatest density and diversity in the no-tillage system occurred in the bacterial-feeding, fungivorous and omnivorous predator groups.",NA,1.5,,,,
10.1016/0167-1987(95)00496-3,no-tillage,Soil management,No tillage,increase,density,abundance,omnivorous predator groups (nematodes),Omnivore-predatory nematodes,nematode population comparison,3 year period,experimental plots,conventional tillage,Soil management,Conventional tillage,Spain,field,"The greatest density and diversity in the no-tillage system occurred in the bacterial-feeding, fungivorous and omnivorous predator groups.",NA,1.5,,,,
10.1016/0167-1987(95)00496-3,no-tillage,Soil management,No tillage,increase,diversity,diversity,bacterial-feeding groups (nematodes),Bacterial feeders nematodes,nematode population comparison,3 year period,experimental plots,conventional tillage,Soil management,Conventional tillage,Spain,field,"The greatest density and diversity in the no-tillage system occurred in the bacterial-feeding, fungivorous and omnivorous predator groups.",NA,1.5,,,,
10.1016/0167-1987(95)00496-3,no-tillage,Soil management,No tillage,increase,diversity,diversity,fungivorous groups (nematodes),Fungal feeders nematodes,nematode population comparison,3 year period,experimental plots,conventional tillage,Soil management,Conventional tillage,Spain,field,"The greatest density and diversity in the no-tillage system occurred in the bacterial-feeding, fungivorous and omnivorous predator groups.",NA,1.5,,,,
10.1016/0167-1987(95)00496-3,no-tillage,Soil management,No tillage,increase,diversity,diversity,omnivorous predator groups (nematodes),Omnivore-predatory nematodes,nematode population comparison,3 year period,experimental plots,conventional tillage,Soil management,Conventional tillage,Spain,field,"The greatest density and diversity in the no-tillage system occurred in the bacterial-feeding, fungivorous and omnivorous predator groups.",NA,1.5,,,,
10.1016/0167-1987(95)00496-3,barley-vetch or barley-sunflower rotations,Vegetation management,Crop rotation,decrease,population,abundance,plant parasites (pathogenic nematodes),Plant feeders nematodes,nematode population comparison,3 year period,experimental plots,barley monoculture,Vegetation management,Monoculture,Spain,field,A favorable effect of crop rotation was that the population of plant parasites (pathogenic) remained below crop damage concentrations.,NA,1.5,,,,
10.1016/0167-1987(95)00496-3,soil compaction by tractor traffic,Soil management,NA,increase,population,abundance,plant parasites (nematodes),Plant feeders nematodes,nematode population comparison,3 year period,soil profile (with depth),undisturbed by traffic,Soil management,NA,Spain,field,,Need to consider 'depth' as a factor,1.5,,,,
10.1016/0167-1987(95)00496-3,soil compaction by tractor traffic,Soil management,NA,decrease,population,abundance,bacterial-feeding groups (nematodes),Bacterial feeders nematodes,nematode population comparison,3 year period,soil profile (with depth),undisturbed by traffic,Soil management,NA,Spain,field,,Need to consider 'depth' as a factor,1.5,,,,
